#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   141   0.380968E+04  -0.419479E+02   0.241383E-03  -0.419479E+02   0.104545E+01  -0.847812E-06   0.241383E-03  -0.847812E-06   0.792793E-07
   142   0.384140E+04  -0.421722E+02   0.239034E-03  -0.421722E+02   0.104479E+01  -0.837338E-06   0.239034E-03  -0.837338E-06   0.788075E-07
   143   0.387306E+04  -0.423775E+02   0.236721E-03  -0.423775E+02   0.104370E+01  -0.826107E-06   0.236721E-03  -0.826107E-06   0.783395E-07
   144   0.390450E+04  -0.425633E+02   0.234440E-03  -0.425633E+02   0.104211E+01  -0.814351E-06   0.234440E-03  -0.814351E-06   0.778753E-07
   145   0.393581E+04  -0.427287E+02   0.232190E-03  -0.427287E+02   0.104018E+01  -0.802298E-06   0.232190E-03  -0.802298E-06   0.774147E-07
   146   0.396721E+04  -0.428739E+02   0.229970E-03  -0.428739E+02   0.103767E+01  -0.790181E-06   0.229970E-03  -0.790181E-06   0.769579E-07
   147   0.399825E+04  -0.429973E+02   0.227778E-03  -0.429973E+02   0.103481E+01  -0.778229E-06   0.227778E-03  -0.778229E-06   0.765047E-07
   148   0.402916E+04  -0.431006E+02   0.225611E-03  -0.431006E+02   0.103145E+01  -0.766674E-06   0.225611E-03  -0.766674E-06   0.760551E-07
   149   0.406001E+04  -0.431822E+02   0.223468E-03  -0.431822E+02   0.102767E+01  -0.755747E-06   0.223468E-03  -0.755747E-06   0.756092E-07
   150   0.409059E+04  -0.432400E+02   0.221348E-03  -0.432400E+02   0.102354E+01  -0.745678E-06   0.221348E-03  -0.745678E-06   0.751668E-07
   151   0.412105E+04  -0.432770E+02   0.219248E-03  -0.432770E+02   0.101898E+01  -0.736646E-06   0.219248E-03  -0.736646E-06   0.747280E-07
   152   0.415123E+04  -0.432917E+02   0.217169E-03  -0.432917E+02   0.101392E+01  -0.728630E-06   0.217169E-03  -0.728630E-06   0.742928E-07
   153   0.418129E+04  -0.432819E+02   0.215110E-03  -0.432819E+02   0.100850E+01  -0.721553E-06   0.215110E-03  -0.721553E-06   0.738610E-07
   154   0.421114E+04  -0.432498E+02   0.213072E-03  -0.432498E+02   0.100274E+01  -0.715343E-06   0.213072E-03  -0.715343E-06   0.734328E-07
   155   0.424080E+04  -0.431946E+02   0.211055E-03  -0.431946E+02   0.996610E+00  -0.709925E-06   0.211055E-03  -0.709925E-06   0.730080E-07
   156   0.427010E+04  -0.431163E+02   0.209059E-03  -0.431163E+02   0.990127E+00  -0.705225E-06   0.209059E-03  -0.705225E-06   0.725867E-07
   157   0.429936E+04  -0.430135E+02   0.207083E-03  -0.430135E+02   0.983285E+00  -0.701167E-06   0.207083E-03  -0.701167E-06   0.721688E-07
   158   0.432833E+04  -0.428869E+02   0.205129E-03  -0.428869E+02   0.976157E+00  -0.697680E-06   0.205129E-03  -0.697680E-06   0.717543E-07
   159   0.435703E+04  -0.427364E+02   0.203196E-03  -0.427364E+02   0.968593E+00  -0.694687E-06   0.203196E-03  -0.694687E-06   0.713432E-07
   160   0.438553E+04  -0.425605E+02   0.201285E-03  -0.425605E+02   0.960741E+00  -0.692115E-06   0.201285E-03  -0.692115E-06   0.709355E-07
   161   0.441382E+04  -0.423608E+02   0.199395E-03  -0.423608E+02   0.952672E+00  -0.689889E-06   0.199395E-03  -0.689889E-06   0.705310E-07
   162   0.444184E+04  -0.421373E+02   0.197526E-03  -0.421373E+02   0.944238E+00  -0.687936E-06   0.197526E-03  -0.687936E-06   0.701300E-07
   163   0.446972E+04  -0.418883E+02   0.195679E-03  -0.418883E+02   0.935512E+00  -0.686181E-06   0.195679E-03  -0.686181E-06   0.697322E-07
   164   0.449718E+04  -0.416155E+02   0.193854E-03  -0.416155E+02   0.926566E+00  -0.684550E-06   0.193854E-03  -0.684550E-06   0.693376E-07
   165   0.452450E+04  -0.413166E+02   0.192051E-03  -0.413166E+02   0.917325E+00  -0.682969E-06   0.192051E-03  -0.682969E-06   0.689464E-07
   166   0.455155E+04  -0.409930E+02   0.190269E-03  -0.409930E+02   0.907935E+00  -0.681363E-06   0.190269E-03  -0.681363E-06   0.685583E-07
   167   0.457839E+04  -0.406455E+02   0.188510E-03  -0.406455E+02   0.898174E+00  -0.679658E-06   0.188510E-03  -0.679658E-06   0.681735E-07
   168   0.460480E+04  -0.402718E+02   0.186773E-03  -0.402718E+02   0.888411E+00  -0.677780E-06   0.186773E-03  -0.677780E-06   0.677918E-07
   169   0.463093E+04  -0.398719E+02   0.185058E-03  -0.398719E+02   0.878347E+00  -0.675654E-06   0.185058E-03  -0.675654E-06   0.674133E-07
   170   0.465678E+04  -0.394474E+02   0.183365E-03  -0.394474E+02   0.868204E+00  -0.673208E-06   0.183365E-03  -0.673208E-06   0.670380E-07
   171   0.468220E+04  -0.389960E+02   0.181695E-03  -0.389960E+02   0.857981E+00  -0.670365E-06   0.181695E-03  -0.670365E-06   0.666657E-07
   172   0.470726E+04  -0.385190E+02   0.180048E-03  -0.385190E+02   0.847602E+00  -0.667053E-06   0.180048E-03  -0.667053E-06   0.662966E-07
   173   0.473189E+04  -0.380167E+02   0.178423E-03  -0.380167E+02   0.837066E+00  -0.663196E-06   0.178423E-03  -0.663196E-06   0.659305E-07
   174   0.475624E+04  -0.374888E+02   0.176821E-03  -0.374888E+02   0.826669E+00  -0.658721E-06   0.176821E-03  -0.658721E-06   0.655675E-07
   175   0.478023E+04  -0.369348E+02   0.175242E-03  -0.369348E+02   0.816112E+00  -0.653554E-06   0.175242E-03  -0.653554E-06   0.652075E-07
   176   0.480371E+04  -0.363545E+02   0.173686E-03  -0.363545E+02   0.805617E+00  -0.647637E-06   0.173686E-03  -0.647637E-06   0.648505E-07
