#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  2958   0.246560E+02  -0.211595E+01   0.245438E-07  -0.211595E+01   0.111529E+01   0.647465E-08   0.245438E-07   0.647465E-08   0.473349E-09
  2959   0.246479E+02  -0.211514E+01   0.245386E-07  -0.211514E+01   0.110799E+01   0.640236E-08   0.245386E-07   0.640236E-08   0.472857E-09
  2960   0.246400E+02  -0.211389E+01   0.245441E-07  -0.211389E+01   0.110081E+01   0.632958E-08   0.245441E-07   0.632958E-08   0.472366E-09
  2961   0.246329E+02  -0.211240E+01   0.245609E-07  -0.211240E+01   0.109348E+01   0.625632E-08   0.245609E-07   0.625632E-08   0.471876E-09
  2962   0.246244E+02  -0.211068E+01   0.245893E-07  -0.211068E+01   0.108614E+01   0.618259E-08   0.245893E-07   0.618259E-08   0.471385E-09
  2963   0.246167E+02  -0.210850E+01   0.246299E-07  -0.210850E+01   0.107893E+01   0.610840E-08   0.246299E-07   0.610840E-08   0.470896E-09
  2964   0.246077E+02  -0.210601E+01   0.246832E-07  -0.210601E+01   0.107157E+01   0.603375E-08   0.246832E-07   0.603375E-08   0.470407E-09
  2965   0.245996E+02  -0.210329E+01   0.247498E-07  -0.210329E+01   0.106427E+01   0.595867E-08   0.247498E-07   0.595867E-08   0.469918E-09
  2966   0.245908E+02  -0.210026E+01   0.248300E-07  -0.210026E+01   0.105695E+01   0.588315E-08   0.248300E-07   0.588315E-08   0.469430E-09
  2967   0.245814E+02  -0.209692E+01   0.249246E-07  -0.209692E+01   0.104963E+01   0.580721E-08   0.249246E-07   0.580721E-08   0.468942E-09
  2968   0.245721E+02  -0.209326E+01   0.250338E-07  -0.209326E+01   0.104229E+01   0.573086E-08   0.250338E-07   0.573086E-08   0.468455E-09
  2969   0.245621E+02  -0.208922E+01   0.251584E-07  -0.208922E+01   0.103495E+01   0.565412E-08   0.251584E-07   0.565412E-08   0.467969E-09
  2970   0.245522E+02  -0.208495E+01   0.252987E-07  -0.208495E+01   0.102759E+01   0.557698E-08   0.252987E-07   0.557698E-08   0.467483E-09
  2971   0.245432E+02  -0.208050E+01   0.254552E-07  -0.208050E+01   0.102030E+01   0.549946E-08   0.254552E-07   0.549946E-08   0.466997E-09
  2972   0.245328E+02  -0.207560E+01   0.256286E-07  -0.207560E+01   0.101299E+01   0.542157E-08   0.256286E-07   0.542157E-08   0.466512E-09
  2973   0.245217E+02  -0.207053E+01   0.258192E-07  -0.207053E+01   0.100568E+01   0.534333E-08   0.258192E-07   0.534333E-08   0.466028E-09
  2974   0.245122E+02  -0.206507E+01   0.260277E-07  -0.206507E+01   0.998355E+00   0.526473E-08   0.260277E-07   0.526473E-08   0.465544E-09
  2975   0.245013E+02  -0.205945E+01   0.262544E-07  -0.205945E+01   0.991095E+00   0.518580E-08   0.262544E-07   0.518580E-08   0.465060E-09
  2976   0.244890E+02  -0.205343E+01   0.265000E-07  -0.205343E+01   0.983750E+00   0.510654E-08   0.265000E-07   0.510654E-08   0.464578E-09
  2977   0.244783E+02  -0.204725E+01   0.267649E-07  -0.204725E+01   0.976544E+00   0.502696E-08   0.267649E-07   0.502696E-08   0.464095E-09
  2978   0.244654E+02  -0.204075E+01   0.270496E-07  -0.204075E+01   0.969328E+00   0.494707E-08   0.270496E-07   0.494707E-08   0.463613E-09
  2979   0.244526E+02  -0.203400E+01   0.273547E-07  -0.203400E+01   0.962176E+00   0.486688E-08   0.273547E-07   0.486688E-08   0.463132E-09
  2980   0.244399E+02  -0.202694E+01   0.276806E-07  -0.202694E+01   0.954940E+00   0.478641E-08   0.276806E-07   0.478641E-08   0.462651E-09
  2981   0.244265E+02  -0.201963E+01   0.280278E-07  -0.201963E+01   0.947843E+00   0.470566E-08   0.280278E-07   0.470566E-08   0.462171E-09
  2982   0.244117E+02  -0.201208E+01   0.283970E-07  -0.201208E+01   0.940661E+00   0.462464E-08   0.283970E-07   0.462464E-08   0.461691E-09
  2983   0.243970E+02  -0.200428E+01   0.287885E-07  -0.200428E+01   0.933545E+00   0.454337E-08   0.287885E-07   0.454337E-08   0.461211E-09
  2984   0.243823E+02  -0.199623E+01   0.292029E-07  -0.199623E+01   0.926494E+00   0.446185E-08   0.292029E-07   0.446185E-08   0.460733E-09
  2985   0.243670E+02  -0.198787E+01   0.296407E-07  -0.198787E+01   0.919433E+00   0.438009E-08   0.296407E-07   0.438009E-08   0.460254E-09
  2986   0.243510E+02  -0.197933E+01   0.301023E-07  -0.197933E+01   0.912437E+00   0.429810E-08   0.301023E-07   0.429810E-08   0.459776E-09
  2987   0.243350E+02  -0.197061E+01   0.305884E-07  -0.197061E+01   0.905431E+00   0.421591E-08   0.305884E-07   0.421591E-08   0.459299E-09
  2988   0.243184E+02  -0.196143E+01   0.310994E-07  -0.196143E+01   0.898417E+00   0.413350E-08   0.310994E-07   0.413350E-08   0.458822E-09
  2989   0.243011E+02  -0.195214E+01   0.316359E-07  -0.195214E+01   0.891617E+00   0.405090E-08   0.316359E-07   0.405090E-08   0.458346E-09
  2990   0.242838E+02  -0.194268E+01   0.321982E-07  -0.194268E+01   0.884733E+00   0.396812E-08   0.321982E-07   0.396812E-08   0.457870E-09
  2991   0.242651E+02  -0.193296E+01   0.327870E-07  -0.193296E+01   0.877840E+00   0.388516E-08   0.327870E-07   0.388516E-08   0.457395E-09
  2992   0.242457E+02  -0.192300E+01   0.334028E-07  -0.192300E+01   0.871162E+00   0.380203E-08   0.334028E-07   0.380203E-08   0.456920E-09
  2993   0.242264E+02  -0.191285E+01   0.340460E-07  -0.191285E+01   0.864400E+00   0.371875E-08   0.340460E-07   0.371875E-08   0.456446E-09
  2994   0.242056E+02  -0.190253E+01   0.347171E-07  -0.190253E+01   0.857630E+00   0.363533E-08   0.347171E-07   0.363533E-08   0.455972E-09
  2995   0.241849E+02  -0.189181E+01   0.354168E-07  -0.189181E+01   0.851074E+00   0.355177E-08   0.354168E-07   0.355177E-08   0.455499E-09
  2996   0.241642E+02  -0.188113E+01   0.361454E-07  -0.188113E+01   0.844510E+00   0.346809E-08   0.361454E-07   0.346809E-08   0.455026E-09
  2997   0.241421E+02  -0.187005E+01   0.369035E-07  -0.187005E+01   0.837938E+00   0.338430E-08   0.369035E-07   0.338430E-08   0.454554E-09
  2998   0.241192E+02  -0.185901E+01   0.376917E-07  -0.185901E+01   0.831431E+00   0.330040E-08   0.376917E-07   0.330040E-08   0.454082E-09
  2999   0.240957E+02  -0.184756E+01   0.385103E-07  -0.184756E+01   0.824991E+00   0.321641E-08   0.385103E-07   0.321641E-08   0.453611E-09
  3000   0.240722E+02  -0.183601E+01   0.393599E-07  -0.183601E+01   0.818617E+00   0.313233E-08   0.393599E-07   0.313233E-08   0.453140E-09
  3001   0.240479E+02  -0.182428E+01   0.402408E-07  -0.182428E+01   0.812234E+00   0.304819E-08   0.402408E-07   0.304819E-08   0.452669E-09
  3002   0.240230E+02  -0.181236E+01   0.411520E-07  -0.181236E+01   0.805993E+00   0.296398E-08   0.411520E-07   0.296398E-08   0.452200E-09
  3003   0.239966E+02  -0.180034E+01   0.420921E-07  -0.180034E+01   0.799744E+00   0.287970E-08   0.420921E-07   0.287970E-08   0.451730E-09
  3004   0.239703E+02  -0.178806E+01   0.430601E-07  -0.178806E+01   0.793562E+00   0.279537E-08   0.430601E-07   0.279537E-08   0.451262E-09
  3005   0.239432E+02  -0.177559E+01   0.440546E-07  -0.177559E+01   0.787521E+00   0.271100E-08   0.440546E-07   0.271100E-08   0.450793E-09
  3006   0.239161E+02  -0.176302E+01   0.450743E-07  -0.176302E+01   0.781474E+00   0.262658E-08   0.450743E-07   0.262658E-08   0.450325E-09
  3007   0.238876E+02  -0.175034E+01   0.461181E-07  -0.175034E+01   0.775493E+00   0.254213E-08   0.461181E-07   0.254213E-08   0.449858E-09
  3008   0.238591E+02  -0.173748E+01   0.471846E-07  -0.173748E+01   0.769506E+00   0.245764E-08   0.471846E-07   0.245764E-08   0.449391E-09
  3009   0.238291E+02  -0.172451E+01   0.482727E-07  -0.172451E+01   0.763699E+00   0.237314E-08   0.482727E-07   0.237314E-08   0.448925E-09
  3010   0.237991E+02  -0.171136E+01   0.493810E-07  -0.171136E+01   0.757974E+00   0.228861E-08   0.493810E-07   0.228861E-08   0.448459E-09
  3011   0.237684E+02  -0.169810E+01   0.505084E-07  -0.169810E+01   0.752236E+00   0.220408E-08   0.505084E-07   0.220408E-08   0.447994E-09
  3012   0.237370E+02  -0.168474E+01   0.516535E-07  -0.168474E+01   0.746589E+00   0.211953E-08   0.516535E-07   0.211953E-08   0.447529E-09
  3013   0.237041E+02  -0.167119E+01   0.528152E-07  -0.167119E+01   0.741003E+00   0.203499E-08   0.528152E-07   0.203499E-08   0.447064E-09
  3014   0.236719E+02  -0.165762E+01   0.539922E-07  -0.165762E+01   0.735515E+00   0.195046E-08   0.539922E-07   0.195046E-08   0.446601E-09
  3015   0.236375E+02  -0.164386E+01   0.551831E-07  -0.164386E+01   0.730067E+00   0.186593E-08   0.551831E-07   0.186593E-08   0.446137E-09
  3016   0.236039E+02  -0.163014E+01   0.563869E-07  -0.163014E+01   0.724695E+00   0.178143E-08   0.563869E-07   0.178143E-08   0.445674E-09
  3017   0.235680E+02  -0.161616E+01   0.576021E-07  -0.161616E+01   0.719401E+00   0.169695E-08   0.576021E-07   0.169695E-08   0.445212E-09
  3018   0.235329E+02  -0.160223E+01   0.588277E-07  -0.160223E+01   0.714168E+00   0.161250E-08   0.588277E-07   0.161250E-08   0.444750E-09
  3019   0.234962E+02  -0.158812E+01   0.600623E-07  -0.158812E+01   0.708998E+00   0.152809E-08   0.600623E-07   0.152809E-08   0.444288E-09
  3020   0.234596E+02  -0.157398E+01   0.613046E-07  -0.157398E+01   0.703921E+00   0.144373E-08   0.613046E-07   0.144373E-08   0.443828E-09
  3021   0.234207E+02  -0.155980E+01   0.625535E-07  -0.155980E+01   0.698921E+00   0.135941E-08   0.625535E-07   0.135941E-08   0.443367E-09
  3022   0.233826E+02  -0.154552E+01   0.638076E-07  -0.154552E+01   0.693991E+00   0.127514E-08   0.638076E-07   0.127514E-08   0.442907E-09
  3023   0.233422E+02  -0.153113E+01   0.650658E-07  -0.153113E+01   0.689147E+00   0.119094E-08   0.650658E-07   0.119094E-08   0.442448E-09
  3024   0.233025E+02  -0.151663E+01   0.663267E-07  -0.151663E+01   0.684374E+00   0.110681E-08   0.663267E-07   0.110681E-08   0.441989E-09
  3025   0.232628E+02  -0.150218E+01   0.675892E-07  -0.150218E+01   0.679679E+00   0.102275E-08   0.675892E-07   0.102275E-08   0.441530E-09
  3026   0.232231E+02  -0.148762E+01   0.688519E-07  -0.148762E+01   0.675071E+00   0.938767E-09   0.688519E-07   0.938767E-09   0.441072E-09
  3027   0.231812E+02  -0.147303E+01   0.701137E-07  -0.147303E+01   0.670533E+00   0.854872E-09   0.701137E-07   0.854872E-09   0.440614E-09
  3028   0.231385E+02  -0.145841E+01   0.713732E-07  -0.145841E+01   0.666083E+00   0.771068E-09   0.713732E-07   0.771068E-09   0.440157E-09
  3029   0.230950E+02  -0.144383E+01   0.726293E-07  -0.144383E+01   0.661711E+00   0.687363E-09   0.726293E-07   0.687363E-09   0.439701E-09
  3030   0.230514E+02  -0.142915E+01   0.738807E-07  -0.142915E+01   0.657426E+00   0.603761E-09   0.738807E-07   0.603761E-09   0.439244E-09
  3031   0.230071E+02  -0.141451E+01   0.751260E-07  -0.141451E+01   0.653207E+00   0.520270E-09   0.751260E-07   0.520270E-09   0.438789E-09
  3032   0.229621E+02  -0.139983E+01   0.763642E-07  -0.139983E+01   0.649081E+00   0.436895E-09   0.763642E-07   0.436895E-09   0.438334E-09
  3033   0.229162E+02  -0.138513E+01   0.775938E-07  -0.138513E+01   0.645022E+00   0.353641E-09   0.775938E-07   0.353641E-09   0.437879E-09
  3034   0.228696E+02  -0.137040E+01   0.788138E-07  -0.137040E+01   0.641064E+00   0.270517E-09   0.788138E-07   0.270517E-09   0.437425E-09
  3035   0.228229E+02  -0.135571E+01   0.800228E-07  -0.135571E+01   0.637187E+00   0.187526E-09   0.800228E-07   0.187526E-09   0.436971E-09
  3036   0.227754E+02  -0.134091E+01   0.812195E-07  -0.134091E+01   0.633383E+00   0.104677E-09   0.812195E-07   0.104677E-09   0.436518E-09
  3037   0.227265E+02  -0.132623E+01   0.824028E-07  -0.132623E+01   0.629668E+00   0.219735E-10   0.824028E-07   0.219735E-10   0.436065E-09
  3038   0.226782E+02  -0.131153E+01   0.835713E-07  -0.131153E+01   0.626033E+00  -0.605770E-10   0.835713E-07  -0.605770E-10   0.435613E-09
  3039   0.226283E+02  -0.129694E+01   0.847239E-07  -0.129694E+01   0.622473E+00  -0.142969E-09   0.847239E-07  -0.142969E-09   0.435161E-09
  3040   0.225785E+02  -0.128232E+01   0.858593E-07  -0.128232E+01   0.619008E+00  -0.225196E-09   0.858593E-07  -0.225196E-09   0.434709E-09
  3041   0.225270E+02  -0.126767E+01   0.869761E-07  -0.126767E+01   0.615626E+00  -0.307252E-09   0.869761E-07  -0.307252E-09   0.434258E-09
  3042   0.224763E+02  -0.125314E+01   0.880733E-07  -0.125314E+01   0.612325E+00  -0.389131E-09   0.880733E-07  -0.389131E-09   0.433808E-09
  3043   0.224233E+02  -0.123857E+01   0.891495E-07  -0.123857E+01   0.609106E+00  -0.470827E-09   0.891495E-07  -0.470827E-09   0.433358E-09
  3044   0.223702E+02  -0.122406E+01   0.902034E-07  -0.122406E+01   0.605984E+00  -0.552333E-09   0.902034E-07  -0.552333E-09   0.432909E-09
  3045   0.223171E+02  -0.120966E+01   0.912339E-07  -0.120966E+01   0.602930E+00  -0.633645E-09   0.912339E-07  -0.633645E-09   0.432460E-09
  3046   0.222632E+02  -0.119523E+01   0.922397E-07  -0.119523E+01   0.599973E+00  -0.714755E-09   0.922397E-07  -0.714755E-09   0.432011E-09
  3047   0.222091E+02  -0.118092E+01   0.932194E-07  -0.118092E+01   0.597091E+00  -0.795657E-09   0.932194E-07  -0.795657E-09   0.431563E-09
  3048   0.221543E+02  -0.116658E+01   0.941720E-07  -0.116658E+01   0.594285E+00  -0.876346E-09   0.941720E-07  -0.876346E-09   0.431115E-09
  3049   0.220987E+02  -0.115236E+01   0.950961E-07  -0.115236E+01   0.591578E+00  -0.956816E-09   0.950961E-07  -0.956816E-09   0.430668E-09
  3050   0.220430E+02  -0.113826E+01   0.959905E-07  -0.113826E+01   0.588953E+00  -0.103706E-08   0.959905E-07  -0.103706E-08   0.430222E-09
  3051   0.219850E+02  -0.112413E+01   0.968541E-07  -0.112413E+01   0.586405E+00  -0.111707E-08   0.968541E-07  -0.111707E-08   0.429775E-09
  3052   0.219284E+02  -0.111012E+01   0.976874E-07  -0.111012E+01   0.583933E+00  -0.119682E-08   0.976874E-07  -0.119682E-08   0.429330E-09
  3053   0.218702E+02  -0.109616E+01   0.984907E-07  -0.109616E+01   0.581560E+00  -0.127630E-08   0.984907E-07  -0.127630E-08   0.428884E-09
  3054   0.218128E+02  -0.108239E+01   0.992648E-07  -0.108239E+01   0.579256E+00  -0.135548E-08   0.992648E-07  -0.135548E-08   0.428440E-09
  3055   0.217545E+02  -0.106867E+01   0.100010E-06  -0.106867E+01   0.577036E+00  -0.143433E-08   0.100010E-06  -0.143433E-08   0.427995E-09
  3056   0.216953E+02  -0.105500E+01   0.100727E-06  -0.105500E+01   0.574900E+00  -0.151284E-08   0.100727E-06  -0.151284E-08   0.427551E-09
  3057   0.216354E+02  -0.104145E+01   0.101416E-06  -0.104145E+01   0.572841E+00  -0.159098E-08   0.101416E-06  -0.159098E-08   0.427108E-09
  3058   0.215754E+02  -0.102809E+01   0.102078E-06  -0.102809E+01   0.570866E+00  -0.166873E-08   0.102078E-06  -0.166873E-08   0.426665E-09
  3059   0.215145E+02  -0.101472E+01   0.102713E-06  -0.101472E+01   0.568969E+00  -0.174606E-08   0.102713E-06  -0.174606E-08   0.426223E-09
  3060   0.214536E+02  -0.100146E+01   0.103323E-06  -0.100146E+01   0.567149E+00  -0.182295E-08   0.103323E-06  -0.182295E-08   0.425781E-09
  3061   0.213919E+02  -0.988407E+00   0.103906E-06  -0.988407E+00   0.565413E+00  -0.189939E-08   0.103906E-06  -0.189939E-08   0.425339E-09
  3062   0.213308E+02  -0.975478E+00   0.104465E-06  -0.975478E+00   0.563763E+00  -0.197534E-08   0.104465E-06  -0.197534E-08   0.424898E-09
  3063   0.212689E+02  -0.962526E+00   0.104999E-06  -0.962526E+00   0.562168E+00  -0.205079E-08   0.104999E-06  -0.205079E-08   0.424457E-09
  3064   0.212054E+02  -0.949775E+00   0.105509E-06  -0.949775E+00   0.560672E+00  -0.212571E-08   0.105509E-06  -0.212571E-08   0.424017E-09
  3065   0.211426E+02  -0.937151E+00   0.105996E-06  -0.937151E+00   0.559240E+00  -0.220007E-08   0.105996E-06  -0.220007E-08   0.423577E-09
  3066   0.210790E+02  -0.924729E+00   0.106460E-06  -0.924729E+00   0.557893E+00  -0.227387E-08   0.106460E-06  -0.227387E-08   0.423138E-09
  3067   0.210153E+02  -0.912435E+00   0.106901E-06  -0.912435E+00   0.556617E+00  -0.234706E-08   0.106901E-06  -0.234706E-08   0.422699E-09
  3068   0.209515E+02  -0.900195E+00   0.107321E-06  -0.900195E+00   0.555427E+00  -0.241964E-08   0.107321E-06  -0.241964E-08   0.422261E-09
  3069   0.208869E+02  -0.888233E+00   0.107720E-06  -0.888233E+00   0.554300E+00  -0.249157E-08   0.107720E-06  -0.249157E-08   0.421823E-09
  3070   0.208214E+02  -0.876327E+00   0.108097E-06  -0.876327E+00   0.553244E+00  -0.256284E-08   0.108097E-06  -0.256284E-08   0.421386E-09
  3071   0.207559E+02  -0.864551E+00   0.108455E-06  -0.864551E+00   0.552259E+00  -0.263342E-08   0.108455E-06  -0.263342E-08   0.420949E-09
  3072   0.206903E+02  -0.853054E+00   0.108793E-06  -0.853054E+00   0.551353E+00  -0.270329E-08   0.108793E-06  -0.270329E-08   0.420512E-09
  3073   0.206246E+02  -0.841615E+00   0.109112E-06  -0.841615E+00   0.550510E+00  -0.277242E-08   0.109112E-06  -0.277242E-08   0.420076E-09
  3074   0.205589E+02  -0.830382E+00   0.109412E-06  -0.830382E+00   0.549739E+00  -0.284080E-08   0.109412E-06  -0.284080E-08   0.419641E-09
  3075   0.204923E+02  -0.819207E+00   0.109695E-06  -0.819207E+00   0.549040E+00  -0.290839E-08   0.109695E-06  -0.290839E-08   0.419205E-09
  3076   0.204263E+02  -0.808314E+00   0.109960E-06  -0.808314E+00   0.548413E+00  -0.297519E-08   0.109960E-06  -0.297519E-08   0.418771E-09
  3077   0.203588E+02  -0.797555E+00   0.110208E-06  -0.797555E+00   0.547850E+00  -0.304116E-08   0.110208E-06  -0.304116E-08   0.418336E-09
  3078   0.202927E+02  -0.786930E+00   0.110439E-06  -0.786930E+00   0.547351E+00  -0.310628E-08   0.110439E-06  -0.310628E-08   0.417903E-09
  3079   0.202250E+02  -0.776514E+00   0.110655E-06  -0.776514E+00   0.546925E+00  -0.317053E-08   0.110655E-06  -0.317053E-08   0.417469E-09
  3080   0.201580E+02  -0.766307E+00   0.110855E-06  -0.766307E+00   0.546556E+00  -0.323388E-08   0.110855E-06  -0.323388E-08   0.417036E-09
  3081   0.200902E+02  -0.756200E+00   0.111041E-06  -0.756200E+00   0.546251E+00  -0.329632E-08   0.111041E-06  -0.329632E-08   0.416604E-09
  3082   0.200222E+02  -0.746340E+00   0.111212E-06  -0.746340E+00   0.546012E+00  -0.335782E-08   0.111212E-06  -0.335782E-08   0.416172E-09
  3083   0.199542E+02  -0.736632E+00   0.111370E-06  -0.736632E+00   0.545845E+00  -0.341836E-08   0.111370E-06  -0.341836E-08   0.415740E-09
  3084   0.198868E+02  -0.727084E+00   0.111514E-06  -0.727084E+00   0.545729E+00  -0.347791E-08   0.111514E-06  -0.347791E-08   0.415309E-09
  3085   0.198179E+02  -0.717763E+00   0.111646E-06  -0.717763E+00   0.545671E+00  -0.353646E-08   0.111646E-06  -0.353646E-08   0.414879E-09
  3086   0.197496E+02  -0.708610E+00   0.111766E-06  -0.708610E+00   0.545671E+00  -0.359397E-08   0.111766E-06  -0.359397E-08   0.414448E-09
  3087   0.196812E+02  -0.699664E+00   0.111875E-06  -0.699664E+00   0.545729E+00  -0.365043E-08   0.111875E-06  -0.365043E-08   0.414019E-09
  3088   0.196127E+02  -0.690901E+00   0.111972E-06  -0.690901E+00   0.545852E+00  -0.370582E-08   0.111972E-06  -0.370582E-08   0.413589E-09
  3089   0.195441E+02  -0.682339E+00   0.112059E-06  -0.682339E+00   0.546034E+00  -0.376010E-08   0.112059E-06  -0.376010E-08   0.413161E-09
  3090   0.194747E+02  -0.673969E+00   0.112136E-06  -0.673969E+00   0.546260E+00  -0.381326E-08   0.112136E-06  -0.381326E-08   0.412732E-09
  3091   0.194067E+02  -0.665800E+00   0.112203E-06  -0.665800E+00   0.546537E+00  -0.386528E-08   0.112203E-06  -0.386528E-08   0.412304E-09
  3092   0.193372E+02  -0.657818E+00   0.112262E-06  -0.657818E+00   0.546880E+00  -0.391613E-08   0.112262E-06  -0.391613E-08   0.411877E-09
  3093   0.192682E+02  -0.650045E+00   0.112313E-06  -0.650045E+00   0.547267E+00  -0.396579E-08   0.112313E-06  -0.396579E-08   0.411450E-09
  3094   0.191992E+02  -0.642460E+00   0.112356E-06  -0.642460E+00   0.547714E+00  -0.401423E-08   0.112356E-06  -0.401423E-08   0.411023E-09
  3095   0.191301E+02  -0.635085E+00   0.112391E-06  -0.635085E+00   0.548197E+00  -0.406144E-08   0.112391E-06  -0.406144E-08   0.410597E-09
  3096   0.190609E+02  -0.627907E+00   0.112420E-06  -0.627907E+00   0.548732E+00  -0.410739E-08   0.112420E-06  -0.410739E-08   0.410171E-09
  3097   0.189923E+02  -0.620932E+00   0.112443E-06  -0.620932E+00   0.549318E+00  -0.415206E-08   0.112443E-06  -0.415206E-08   0.409746E-09
  3098   0.189229E+02  -0.614163E+00   0.112460E-06  -0.614163E+00   0.549950E+00  -0.419542E-08   0.112460E-06  -0.419542E-08   0.409321E-09
  3099   0.188542E+02  -0.607598E+00   0.112472E-06  -0.607598E+00   0.550626E+00  -0.423745E-08   0.112472E-06  -0.423745E-08   0.408896E-09
  3100   0.187854E+02  -0.601239E+00   0.112480E-06  -0.601239E+00   0.551347E+00  -0.427814E-08   0.112480E-06  -0.427814E-08   0.408472E-09
  3101   0.187164E+02  -0.595087E+00   0.112483E-06  -0.595087E+00   0.552106E+00  -0.431745E-08   0.112483E-06  -0.431745E-08   0.408049E-09
  3102   0.186481E+02  -0.589142E+00   0.112483E-06  -0.589142E+00   0.552917E+00  -0.435539E-08   0.112483E-06  -0.435539E-08   0.407626E-09
  3103   0.185790E+02  -0.583403E+00   0.112478E-06  -0.583403E+00   0.553758E+00  -0.439196E-08   0.112478E-06  -0.439196E-08   0.407203E-09
  3104   0.185106E+02  -0.577880E+00   0.112470E-06  -0.577880E+00   0.554644E+00  -0.442716E-08   0.112470E-06  -0.442716E-08   0.406781E-09
  3105   0.184420E+02  -0.572558E+00   0.112457E-06  -0.572558E+00   0.555567E+00  -0.446098E-08   0.112457E-06  -0.446098E-08   0.406359E-09
  3106   0.183733E+02  -0.567445E+00   0.112440E-06  -0.567445E+00   0.556528E+00  -0.449342E-08   0.112440E-06  -0.449342E-08   0.405937E-09
  3107   0.183054E+02  -0.562533E+00   0.112419E-06  -0.562533E+00   0.557518E+00  -0.452450E-08   0.112419E-06  -0.452450E-08   0.405516E-09
  3108   0.182373E+02  -0.557838E+00   0.112394E-06  -0.557838E+00   0.558561E+00  -0.455420E-08   0.112394E-06  -0.455420E-08   0.405096E-09
  3109   0.181691E+02  -0.553338E+00   0.112364E-06  -0.553338E+00   0.559619E+00  -0.458252E-08   0.112364E-06  -0.458252E-08   0.404676E-09
  3110   0.181016E+02  -0.549056E+00   0.112330E-06  -0.549056E+00   0.560707E+00  -0.460947E-08   0.112330E-06  -0.460947E-08   0.404256E-09
  3111   0.180340E+02  -0.544971E+00   0.112292E-06  -0.544971E+00   0.561831E+00  -0.463504E-08   0.112292E-06  -0.463504E-08   0.403837E-09
  3112   0.179664E+02  -0.541104E+00   0.112250E-06  -0.541104E+00   0.562986E+00  -0.465924E-08   0.112250E-06  -0.465924E-08   0.403418E-09
  3113   0.178986E+02  -0.537442E+00   0.112203E-06  -0.537442E+00   0.564163E+00  -0.468207E-08   0.112203E-06  -0.468207E-08   0.403000E-09
  3114   0.178315E+02  -0.533985E+00   0.112151E-06  -0.533985E+00   0.565362E+00  -0.470352E-08   0.112151E-06  -0.470352E-08   0.402582E-09
  3115   0.177644E+02  -0.530725E+00   0.112096E-06  -0.530725E+00   0.566590E+00  -0.472360E-08   0.112096E-06  -0.472360E-08   0.402165E-09
  3116   0.176994E+02  -0.527664E+00   0.112035E-06  -0.527664E+00   0.567849E+00  -0.474230E-08   0.112035E-06  -0.474230E-08   0.401747E-09
  3117   0.176328E+02  -0.524817E+00   0.111970E-06  -0.524817E+00   0.569129E+00  -0.475962E-08   0.111970E-06  -0.475962E-08   0.401331E-09
  3118   0.175669E+02  -0.522169E+00   0.111901E-06  -0.522169E+00   0.570417E+00  -0.477557E-08   0.111901E-06  -0.477557E-08   0.400915E-09
  3119   0.175010E+02  -0.519729E+00   0.111827E-06  -0.519729E+00   0.571734E+00  -0.479015E-08   0.111827E-06  -0.479015E-08   0.400499E-09
  3120   0.174357E+02  -0.517488E+00   0.111748E-06  -0.517488E+00   0.573073E+00  -0.480334E-08   0.111748E-06  -0.480334E-08   0.400084E-09
  3121   0.173703E+02  -0.515441E+00   0.111665E-06  -0.515441E+00   0.574426E+00  -0.481517E-08   0.111665E-06  -0.481517E-08   0.399669E-09
  3122   0.173079E+02  -0.513595E+00   0.111577E-06  -0.513595E+00   0.575795E+00  -0.482561E-08   0.111577E-06  -0.482561E-08   0.399254E-09
  3123   0.172431E+02  -0.511944E+00   0.111484E-06  -0.511944E+00   0.577170E+00  -0.483468E-08   0.111484E-06  -0.483468E-08   0.398840E-09
  3124   0.171790E+02  -0.510487E+00   0.111386E-06  -0.510487E+00   0.578559E+00  -0.484238E-08   0.111386E-06  -0.484238E-08   0.398427E-09
  3125   0.171134E+02  -0.509225E+00   0.111283E-06  -0.509225E+00   0.579971E+00  -0.484870E-08   0.111283E-06  -0.484870E-08   0.398013E-09
  3126   0.170507E+02  -0.508159E+00   0.111176E-06  -0.508159E+00   0.581389E+00  -0.485364E-08   0.111176E-06  -0.485364E-08   0.397601E-09
  3127   0.169872E+02  -0.507289E+00   0.111063E-06  -0.507289E+00   0.582822E+00  -0.485720E-08   0.111063E-06  -0.485720E-08   0.397188E-09
  3128   0.169244E+02  -0.506600E+00   0.110946E-06  -0.506600E+00   0.584254E+00  -0.485939E-08   0.110946E-06  -0.485939E-08   0.396776E-09
  3129   0.168622E+02  -0.506101E+00   0.110824E-06  -0.506101E+00   0.585693E+00  -0.486020E-08   0.110824E-06  -0.486020E-08   0.396365E-09
  3130   0.168000E+02  -0.505807E+00   0.110697E-06  -0.505807E+00   0.587139E+00  -0.485964E-08   0.110697E-06  -0.485964E-08   0.395954E-09
  3131   0.167385E+02  -0.505681E+00   0.110564E-06  -0.505681E+00   0.588598E+00  -0.485769E-08   0.110564E-06  -0.485769E-08   0.395543E-09
  3132   0.166769E+02  -0.505739E+00   0.110427E-06  -0.505739E+00   0.590058E+00  -0.485437E-08   0.110427E-06  -0.485437E-08   0.395133E-09
  3133   0.166160E+02  -0.505981E+00   0.110284E-06  -0.505981E+00   0.591516E+00  -0.484968E-08   0.110284E-06  -0.484968E-08   0.394723E-09
