#    L    TT             EE             TE             PP             TP          
   215   0.535560E+04   0.703806E+00   0.460360E+01   0.244973E+07   0.212967E+04
   216   0.535885E+04   0.717928E+00   0.604116E+01   0.243786E+07   0.211212E+04
   217   0.536160E+04   0.733370E+00   0.749137E+01   0.242609E+07   0.209470E+04
   218   0.536371E+04   0.750133E+00   0.895450E+01   0.241441E+07   0.207743E+04
   219   0.536526E+04   0.768213E+00   0.104315E+02   0.240281E+07   0.206028E+04
   220   0.536624E+04   0.787759E+00   0.119181E+02   0.239130E+07   0.204327E+04
   221   0.536666E+04   0.808694E+00   0.134164E+02   0.237988E+07   0.202639E+04
   222   0.536650E+04   0.831166E+00   0.149250E+02   0.236855E+07   0.200965E+04
   223   0.536563E+04   0.855098E+00   0.164448E+02   0.235730E+07   0.199303E+04
   224   0.536434E+04   0.880491E+00   0.179719E+02   0.234614E+07   0.197654E+04
   225   0.536240E+04   0.907489E+00   0.195095E+02   0.233506E+07   0.196018E+04
   226   0.535990E+04   0.936093E+00   0.210538E+02   0.232406E+07   0.194395E+04
   227   0.535675E+04   0.966300E+00   0.226064E+02   0.231314E+07   0.192785E+04
   228   0.535311E+04   0.998110E+00   0.241658E+02   0.230231E+07   0.191187E+04
   229   0.534890E+04   0.103159E+01   0.257306E+02   0.229156E+07   0.189602E+04
   230   0.534404E+04   0.106675E+01   0.273016E+02   0.228089E+07   0.188029E+04
   231   0.533854E+04   0.110366E+01   0.288780E+02   0.227029E+07   0.186469E+04
   232   0.533254E+04   0.114223E+01   0.304584E+02   0.225978E+07   0.184920E+04
   233   0.532596E+04   0.118270E+01   0.320414E+02   0.224934E+07   0.183384E+04
   234   0.531867E+04   0.122491E+01   0.336277E+02   0.223897E+07   0.181860E+04
   235   0.531088E+04   0.126893E+01   0.352159E+02   0.222869E+07   0.180348E+04
   236   0.530244E+04   0.131477E+01   0.368060E+02   0.221848E+07   0.178848E+04
   237   0.529342E+04   0.136249E+01   0.383966E+02   0.220834E+07   0.177360E+04
   238   0.528384E+04   0.141217E+01   0.399877E+02   0.219827E+07   0.175883E+04
   239   0.527375E+04   0.146366E+01   0.415786E+02   0.218828E+07   0.174418E+04
   240   0.526294E+04   0.151704E+01   0.431672E+02   0.217836E+07   0.172965E+04
   241   0.525170E+04   0.157244E+01   0.447541E+02   0.216851E+07   0.171523E+04
   242   0.523989E+04   0.162972E+01   0.463387E+02   0.215873E+07   0.170092E+04
   243   0.522750E+04   0.168903E+01   0.479196E+02   0.214902E+07   0.168673E+04
   244   0.521454E+04   0.175028E+01   0.494975E+02   0.213938E+07   0.167265E+04
   245   0.520100E+04   0.181356E+01   0.510695E+02   0.212980E+07   0.165868E+04
   246   0.518696E+04   0.187886E+01   0.526371E+02   0.212030E+07   0.164482E+04
   247   0.517241E+04   0.194611E+01   0.541981E+02   0.211085E+07   0.163107E+04
   248   0.515728E+04   0.201567E+01   0.557526E+02   0.210148E+07   0.161742E+04
   249   0.514173E+04   0.208703E+01   0.572998E+02   0.209216E+07   0.160389E+04
   250   0.512560E+04   0.216063E+01   0.588383E+02   0.208291E+07   0.159046E+04
   251   0.510904E+04   0.223616E+01   0.603690E+02   0.207372E+07   0.157713E+04
   252   0.509182E+04   0.231386E+01   0.618902E+02   0.206460E+07   0.156391E+04
   253   0.507432E+04   0.239351E+01   0.634006E+02   0.205553E+07   0.155080E+04
   254   0.505624E+04   0.247540E+01   0.649002E+02   0.204653E+07   0.153779E+04
   255   0.503766E+04   0.255924E+01   0.663890E+02   0.203759E+07   0.152488E+04
   256   0.501864E+04   0.264540E+01   0.678670E+02   0.202871E+07   0.151207E+04
   257   0.499919E+04   0.273344E+01   0.693262E+02   0.201988E+07   0.149936E+04
   258   0.497924E+04   0.282373E+01   0.707790E+02   0.201112E+07   0.148675E+04
   259   0.495885E+04   0.291613E+01   0.722108E+02   0.200242E+07   0.147424E+04
   260   0.493810E+04   0.301063E+01   0.736364E+02   0.199377E+07   0.146182E+04
   261   0.491684E+04   0.310718E+01   0.750335E+02   0.198518E+07   0.144951E+04
   262   0.489508E+04   0.320598E+01   0.764245E+02   0.197665E+07   0.143728E+04
   263   0.487317E+04   0.330683E+01   0.778019E+02   0.196817E+07   0.142516E+04
   264   0.485069E+04   0.340979E+01   0.791583E+02   0.195976E+07   0.141312E+04
   265   0.482769E+04   0.351480E+01   0.804864E+02   0.195139E+07   0.140118E+04
   266   0.480441E+04   0.362207E+01   0.818084E+02   0.194309E+07   0.138933E+04
   267   0.478062E+04   0.373125E+01   0.831021E+02   0.193483E+07   0.137757E+04
   268   0.475646E+04   0.384271E+01   0.843823E+02   0.192664E+07   0.136590E+04
   269   0.473180E+04   0.395614E+01   0.856417E+02   0.191849E+07   0.135432E+04
   270   0.470692E+04   0.407163E+01   0.868803E+02   0.191040E+07   0.134283E+04
   271   0.468160E+04   0.418910E+01   0.880981E+02   0.190236E+07   0.133143E+04
   272   0.465607E+04   0.430886E+01   0.892877E+02   0.189438E+07   0.132011E+04
   273   0.463010E+04   0.443030E+01   0.904640E+02   0.188645E+07   0.130888E+04
   274   0.460384E+04   0.455404E+01   0.916047E+02   0.187857E+07   0.129773E+04
   275   0.457721E+04   0.467955E+01   0.927322E+02   0.187074E+07   0.128667E+04
   276   0.455037E+04   0.480705E+01   0.938241E+02   0.186296E+07   0.127568E+04
   277   0.452309E+04   0.493655E+01   0.949028E+02   0.185523E+07   0.126478E+04
